Date : 2020-03-23 22:13:10
Directory : c:\projects\ShopAppBeta\src
Total : 129 files,  2884 codes, 162 comments, 525 blanks, all 3571 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\projects\ShopAppBeta\src\app\app.component.html                                        | HTML       |         22 |          0 |          1 |         23 |
| c:\projects\ShopAppBeta\src\app\app.component.spec.ts                                     | TypeScript |         31 |          0 |          5 |         36 |
| c:\projects\ShopAppBeta\src\app\app.component.ts                                          | TypeScript |         17 |          0 |          5 |         22 |
| c:\projects\ShopAppBeta\src\app\app.module.ts                                             | TypeScript |         32 |          0 |          4 |         36 |
| c:\projects\ShopAppBeta\src\app\calculator\calculator.component.css                       | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\calculator\calculator.component.html                      | HTML       |         30 |          0 |          3 |         33 |
| c:\projects\ShopAppBeta\src\app\calculator\calculator.component.spec.ts                   | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\calculator\calculator.component.ts                        | TypeScript |         44 |          1 |         10 |         55 |
| c:\projects\ShopAppBeta\src\app\class\bill.spec.ts                                        | TypeScript |          6 |          0 |          2 |          8 |
| c:\projects\ShopAppBeta\src\app\class\bill.ts                                             | TypeScript |         33 |          2 |          8 |         43 |
| c:\projects\ShopAppBeta\src\app\class\element.ts                                          | TypeScript |         19 |          9 |          3 |         31 |
| c:\projects\ShopAppBeta\src\app\class\product.spec.ts                                     | TypeScript |          6 |          0 |          2 |          8 |
| c:\projects\ShopAppBeta\src\app\class\product.ts                                          | TypeScript |         29 |          0 |          5 |         34 |
| c:\projects\ShopAppBeta\src\app\class\template.ts                                         | TypeScript |         66 |          4 |         19 |         89 |
| c:\projects\ShopAppBeta\src\app\home\bill.service.ts                                      | TypeScript |         24 |          1 |          6 |         31 |
| c:\projects\ShopAppBeta\src\app\home\bill\bill.component.css                              | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\home\bill\bill.component.html                             | HTML       |         30 |          0 |          0 |         30 |
| c:\projects\ShopAppBeta\src\app\home\bill\bill.component.spec.ts                          | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\home\bill\bill.component.ts                               | TypeScript |         11 |          0 |          5 |         16 |
| c:\projects\ShopAppBeta\src\app\home\customer\customer.component.css                      | CSS        |          4 |          0 |          0 |          4 |
| c:\projects\ShopAppBeta\src\app\home\customer\customer.component.html                     | HTML       |         38 |          0 |          1 |         39 |
| c:\projects\ShopAppBeta\src\app\home\customer\customer.component.spec.ts                  | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\home\customer\customer.component.ts                       | TypeScript |         49 |          2 |          8 |         59 |
| c:\projects\ShopAppBeta\src\app\home\home-routing.module.ts                               | TypeScript |          9 |          0 |          4 |         13 |
| c:\projects\ShopAppBeta\src\app\home\home.component.css                                   | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\home\home.component.html                                  | HTML       |         70 |          7 |          5 |         82 |
| c:\projects\ShopAppBeta\src\app\home\home.component.spec.ts                               | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\home\home.component.ts                                    | TypeScript |         44 |          2 |          8 |         54 |
| c:\projects\ShopAppBeta\src\app\home\home.module.ts                                       | TypeScript |         22 |          0 |          4 |         26 |
