filename, language, TypeScript, CSS, HTML, comment, blank, total
c:\projects\ShopAppBeta\src\app\services\auth.service.spec.ts, TypeScript, 9, 0, 0, 0, 4, 13
c:\projects\ShopAppBeta\src\app\services\auth.service.ts, TypeScript, 72, 0, 0, 12, 12, 96
c:\projects\ShopAppBeta\src\app\services\collection.service.ts, TypeScript, 19, 0, 0, 0, 4, 23
c:\projects\ShopAppBeta\src\app\services\ledger.service.spec.ts, TypeScript, 9, 0, 0, 0, 4, 13
c:\projects\ShopAppBeta\src\app\services\ledger.service.ts, TypeScript, 39, 0, 0, 0, 7, 46
c:\projects\ShopAppBeta\src\app\services\notification.service.spec.ts, TypeScript, 9, 0, 0, 0, 4, 13
c:\projects\ShopAppBeta\src\app\services\notification.service.ts, TypeScript, 14, 0, 0, 0, 5, 19
c:\projects\ShopAppBeta\src\app\services\sql.service.spec.ts, TypeScript, 9, 0, 0, 0, 4, 13
c:\projects\ShopAppBeta\src\app\services\sql.service.ts, TypeScript, 35, 0, 0, 7, 6, 48
c:\projects\ShopAppBeta\src\app\sharing\base-form\base-form.component.ts, TypeScript, 76, 0, 0, 3, 10, 89
c:\projects\ShopAppBeta\src\app\sharing\paginated-table\paginated-table.component.css, CSS, 0, 6, 0, 0, 1, 7
c:\projects\ShopAppBeta\src\app\sharing\paginated-table\paginated-table.component.html, HTML, 0, 0, 113, 2, 2, 117
c:\projects\ShopAppBeta\src\app\sharing\paginated-table\paginated-table.component.spec.ts, TypeScript, 20, 0, 0, 0, 6, 26
c:\projects\ShopAppBeta\src\app\sharing\paginated-table\paginated-table.component.ts, TypeScript, 122, 0, 0, 14, 30, 166
c:\projects\ShopAppBeta\src\app\sharing\search.pipe.ts, TypeScript, 15, 0, 0, 0, 4, 19
c:\projects\ShopAppBeta\src\app\sharing\sharing.module.ts, TypeScript, 27, 0, 0, 0, 4, 31
c:\projects\ShopAppBeta\src\app\sharing\title-case.pipe.spec.ts, TypeScript, 7, 0, 0, 0, 2, 9
c:\projects\ShopAppBeta\src\app\sharing\title-case.pipe.ts, TypeScript, 14, 0, 0, 0, 4, 18
c:\projects\ShopAppBeta\src\app\sharing\under-score-to-space.pipe.spec.ts, TypeScript, 7, 0, 0, 0, 2, 9
c:\projects\ShopAppBeta\src\app\sharing\under-score-to-space.pipe.ts, TypeScript, 9, 0, 0, 0, 4, 13
c:\projects\ShopAppBeta\src\app\voucher-form\voucher-form.component.css, CSS, 0, 3, 0, 0, 0, 3
c:\projects\ShopAppBeta\src\app\voucher-form\voucher-form.component.html, HTML, 0, 0, 48, 0, 1, 49
c:\projects\ShopAppBeta\src\app\voucher-form\voucher-form.component.ts, TypeScript, 156, 0, 0, 3, 21, 180
c:\projects\ShopAppBeta\src\bootstrap.min.css, CSS, 0, 2, 0, 5, 0, 7
c:\projects\ShopAppBeta\src\environments\environment.prod.ts, TypeScript, 3, 0, 0, 0, 1, 4
c:\projects\ShopAppBeta\src\environments\environment.ts, TypeScript, 3, 0, 0, 11, 3, 17
c:\projects\ShopAppBeta\src\index.html, HTML, 0, 0, 13, 0, 1, 14
c:\projects\ShopAppBeta\src\main.ts, TypeScript, 9, 0, 0, 0, 4, 13
c:\projects\ShopAppBeta\src\polyfills.ts, TypeScript, 1, 0, 0, 55, 8, 64
c:\projects\ShopAppBeta\src\styles.css, CSS, 0, 49, 0, 1, 12, 62
c:\projects\ShopAppBeta\src\test.ts, TypeScript, 13, 0, 0, 4, 4, 21
Total, -, 2073, 99, 712, 162, 525, 3571
